node1	node2	edge	edge_descrip	layer_descrip
AT1G02140	AT1G51510	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G06040	AT1G32230	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G08370	AT3G13300	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G08370	AT5G13570	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G09960	AT1G22710	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G09960	AT2G02860	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G11400	AT1G51510	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G11760	AT5G03220	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G15100	AT5G08790	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G22710	AT2G02860	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G23490	AT3G61570	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G23820	AT1G70310	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G23820	AT5G53120	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G24190	AT3G20310	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G29260	AT3G07560	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G30400	AT3G54010	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G32230	AT2G01980	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G48380	AT5G02820	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G50240	AT3G23670	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G50240	AT4G14150	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G51710	AT2G41110	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G64860	AT2G23070	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G66240	AT5G44790	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
AT1G68010	AT3G07560	4.31376914021469	AraNetv2_log-likelihood-score	AraNetv2-LC_lit-curated-ppi
